"cell_id","cell_lon","cell_lat","year","month","ym","xco2_mean_oco2_oco3","xco2_mean_gosat2","n_obs_oco2_oco3","n_obs_gosat2","diff_ppm","media_ppm","season"
"-63.5_-8.5",-63.5,-8.5,2022,11,"2022-11",416.007973807199,422.079016113281,497,5,6.07104230608257,419.04349496024,"chuvosa"
"-63.5_-8.5",-63.5,-8.5,2023,6,"2023-06",420.1525942427,423.642974853516,884,3,3.49038061081552,421.897784548108,"seca"
"-63.5_-8.5",-63.5,-8.5,2023,7,"2023-07",418.871921677187,422.874663035075,1992,24,4.0027413578876,420.873292356131,"seca"
"-63.5_-8.5",-63.5,-8.5,2024,6,"2024-06",422.402435980903,427.903035481771,90,18,5.50059950086802,425.152735731337,"seca"
"-63.5_-8.5",-63.5,-8.5,2024,7,"2024-07",422.301639653178,427.434152832031,1030,50,5.13251317885317,424.867896242605,"seca"
"-64.5_-10.5",-64.5,-10.5,2024,8,"2024-08",419.760272216797,426.156483968099,10,3,6.39621175130208,422.958378092448,"seca"
"-64.5_-11.5",-64.5,-11.5,2024,7,"2024-07",423.303058042845,425.967559814453,269,3,2.66450177160783,424.635308928649,"seca"
"-64.5_-8.5",-64.5,-8.5,2021,7,"2021-07",415.265203857422,421.24946812221,5,7,5.98426426478795,418.257335989816,"seca"
"-64.5_-8.5",-64.5,-8.5,2022,8,"2022-08",415.97110748291,423.545934041341,12,6,7.57482655843097,419.758520762126,"seca"
"-64.5_-8.5",-64.5,-8.5,2023,7,"2023-07",419.187643971817,424.910949707031,549,5,5.72330573521458,422.049296839424,"seca"
"-64.5_-8.5",-64.5,-8.5,2024,7,"2024-07",422.52954316475,428.908891950335,71,7,6.37934878558457,425.719217557542,"seca"
"-65.5_-9.5",-65.5,-9.5,2023,7,"2023-07",419.214016063793,423.441202799479,148,3,4.2271867356859,421.327609431636,"seca"
"-66.5_-7.5",-66.5,-7.5,2020,8,"2020-08",411.984542410714,416.312520345052,35,3,4.32797793433775,414.148531377883,"seca"
"-66.5_-9.5",-66.5,-9.5,2024,7,"2024-07",422.359199107777,426.875081380208,110,3,4.51588227243133,424.617140243993,"seca"
"-67.5_-8.5",-67.5,-8.5,2023,7,"2023-07",420.240741151752,424.795084635417,33,3,4.55434348366481,422.517912893584,"seca"
"-68.5_-10.5",-68.5,-10.5,2024,7,"2024-07",420.61871773856,427.18852742513,126,3,6.5698096865699,423.903622581845,"seca"
"-70.5_-7.5",-70.5,-7.5,2021,7,"2021-07",413.457998487684,420.611145019531,36,5,7.1531465318468,417.034571753608,"seca"
